City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,myaundzha,63.0494,147.1858,1.86,61,100,0.9,RU,1663163462
135,uyemskiy,64.4743,40.8524,16.03,51,40,3,RU,1663163463
136,vao,-22.6667,167.4833,20.61,74,0,5.47,NC,1663163463
137,kupang,-10.1667,123.5833,25.8,79,100,4.73,ID,1663163464
138,sembe,1.6481,14.5806,31.68,46,78,1.15,CG,1663163464
139,pietersburg,-23.9045,29.4688,18.47,55,20,6.17,ZA,1663163290
140,kavaratti,10.5669,72.642,27.19,83,95,5.05,IN,1663163465
141,lalibela,12.0333,39.0333,21.66,52,76,1.34,ET,1663163466
142,lavrentiya,65.5833,-171,6.67,94,100,1,RU,1663163467
143,kodiak,57.79,-152.4072,7.73,93,100,2.57,US,1663163467
144,kaitangata,-46.2817,169.8464,3.62,90,20,3.76,NZ,1663163468
145,vaini,-21.2,-175.2,24.09,94,40,2.57,TO,1663163469
146,bundaberg,-24.85,152.35,16.64,78,28,2.73,AU,1663163241
147,saint-philippe,-21.3585,55.7679,22.77,73,85,4.1,RE,1663163470
148,rocha,-34.4833,-54.3333,15.2,64,0,4.27,UY,1663163470
149,troitskoye,52.9821,84.6757,8.3,53,100,3.39,RU,1663163471
151,mushie,-3.0167,16.9,33.73,39,100,1.46,CD,1663163224
152,abu samrah,35.3029,37.1841,30.18,26,0,8.65,SY,1663163472
153,ponta do sol,32.6667,-17.1,26.35,72,31,3.05,PT,1663163473
156,chhabra,24.6667,76.8333,25.07,92,100,2.38,IN,1663163261
157,bredasdorp,-34.5322,20.0403,26.13,27,0,5.39,ZA,1663163474
158,saint anthony,45.0205,-93.218,17.28,89,20,3.6,US,1663163475
159,kloulklubed,7.0419,134.2556,28.9,73,92,5.6,PW,1663163475
160,labuhan,-6.8844,112.2051,26.8,76,9,2.06,ID,1663163476
161,geraldton,-28.7667,114.6,14.23,82,75,3.09,AU,1663163476
162,tilichiki,60.4667,166.1,4.76,84,98,3.69,RU,1663163478
163,kempen,51.3667,6.4167,15.62,93,100,2.57,DE,1663163478
165,tuy hoa,13.0833,109.3,26.3,86,94,1.46,VN,1663163480
166,saldanha,-33.0117,17.9442,28.03,63,3,5.44,ZA,1663163480
167,saskylakh,71.9167,114.0833,0,78,97,2.54,RU,1663163481
168,ekhabi,53.5102,142.9671,10.21,82,40,5.4,RU,1663163481
169,gberia fotombu,9.8833,-11.1667,27.11,73,99,2.96,SL,1663163482
170,severobaykalsk,55.65,109.3167,7.25,65,81,2.44,RU,1663163483
171,kokopo,-4.352,152.2633,25.23,84,40,4.43,PG,1663163484
172,kahului,20.8947,-156.47,25.47,82,0,5.14,US,1663163484
173,lebu,-37.6167,-73.65,12.18,63,65,1.98,CL,1663163485
174,ust-uda,54.1742,103.0304,8.68,67,100,1.27,RU,1663163486
175,ilam,26.9167,87.9167,20.47,96,74,1.07,NP,1663163449
176,ixtapa,20.7,-105.2,26.24,82,52,0.94,MX,1663163486
177,northam,51.0333,-4.2167,19.81,66,17,4.37,GB,1663163487
178,cabedelo,-6.9811,-34.8339,27.37,69,31,5.87,BR,1663163487
179,khatanga,71.9667,102.5,0.61,98,100,5.18,RU,1663163487
180,obihiro,42.9172,143.2044,9.3,84,16,0.74,JP,1663163248
181,terrell,32.736,-96.2753,23.21,71,0,3.02,US,1663163488
182,belmopan,17.25,-88.7667,24.21,94,91,0.73,BZ,1663163488
183,chapais,49.7834,-74.8492,9.88,84,100,6.2,CA,1663163489
184,lata,40.1629,-8.3327,21.62,83,97,2.78,PT,1663163490
185,beringovskiy,63.05,179.3167,6.17,85,100,3.63,RU,1663163491
186,biritiba-mirim,-23.5698,-46.0407,16.88,94,100,0.4,BR,1663163491
187,oranjestad,12.524,-70.027,30.97,66,20,6.17,AW,1663163492
188,airai,-8.9266,125.4092,15.03,73,94,1.43,TL,1663163492
189,mayo,38.8876,-76.5119,21.77,74,0,5.81,US,1663163493
190,butaritari,3.0707,172.7902,27.35,76,100,6.69,KI,1663163493
